"Code","Nom Produit","","PU H.T."
"99","TRANSPORT","t","0,00"
"Code","Nom Produit","","PU H.T."
"601","BLOCS NON TRIES NON CHARGES","t","15,45"
"602","DECOUVERTE","t","7,90"
"608","PIED DE BUTTE","t","7,90"
"Code","Nom Produit","","PU H.T."
"611","0/125 E IV d","t","9,60"
"614","GNT A 0/20 E IV d","t","9,35"
"617","GNT A 0/63 E IV d","t","10,20"
"Code","Nom Produit","","PU H.T."
"6210","16/31.5","t","15,25"
"6211","60/120","t","13,35"
"6212","30/60","t","13,35"
"624","GNT A 0/20 C III b","t","12,05"
"626","GNT A 0/31.5 C III b","t","11,70"
"Code","Nom Produit","","PU H.T."
"6311","GRAVILLON ASSAINISSEMENT","t","14,05"
"6312","GRAVILLON 10/20 CAT A","t","20,55"
"6313","SABLE CANALISATION Decl.","t","9,60"
"6314","GRAVILLON 6.3/10 CAT A béton","t","21,40"
"6315","GRAVILLON 4/6.3 CAT CIII","t","21,40"
"6317","GRAVILLON 11.2/22.4 CAT A béton","t","21,40"
"Code","Nom Produit","","PU H.T."
"6318","SABLE 0/4 CAT a carrière","t","9,75"
"631","GRAVILLON 10/14 C III","t","20,55"
"6321","GRAVILLON 4/10 CAT A béton","t","20,55"
"6322","GRAVILLON 4/14 CAT A béton","t","20,55"
"6334","GRAVILLON 14/20","t","20,55"
"639","GRAVILLON 6.3/10 CAT C III","t","21,40"
"Code","Nom Produit","","PU H.T."
"6411","GRAVILLON 10/14 CAT CII lavé","t","22,40"
"6418","GRAVILLON 4/10 Lavé","t","23,85"
"6419","GRAVILLON 4/6.3 CAT CII lavé","t","23,85"
"6424","GRAVILLON 6.3/10 CAT CII lavé","t","23,85"
"644","GNT B 0/20 C III b","t","15,25"
"645","GRAVE 0/20 drainante","t","18,55"
"646","GNT B 0/31.5 C III b","t","15,25"
"Code","Nom Produit","","PU H.T."
"06","REFACTURATION DIVERSE","U","0,00"
"Code","Nom Produit","","PU H.T."
"683","Déblais TERRES et CAILLOUX 17 05 0","t","7,35"
"684","Déblais TERRES et PIERRES (parcs, ja","t","7,35"
"Code","Nom Produit","","PU H.T."
"6910","Sable lavé 0/4 (D3.15) CAT A (SF)","t","26,80"
"6911","SABLE 0/2 CAT A NF (Vz)","t","26,80"
"6912","GRAVILLON 4/14 CAT A (SF)","t","56,65"
"6913","Sable 0/4 assainissement (SF)","t","26,80"
"6914","Sable 0/4 filtrant (SF)","t","26,80"
